Target,Validation,Model,N,Patients,ROC_AUC,PR_AUC,Brier_Score
Ciprofloxacin,Temporal 2022-2023,B2 Same-drug + Time,4623,2912,0.8234866506508953,0.7461736987469365,0.10698850574199165
Ciprofloxacin,Temporal 2022-2023,D2 Additive TCS-Net,4623,2912,0.8261768536061345,0.7556100577212349,0.10666877461045193
Ciprofloxacin,Temporal 2022-2023,E Interaction TCS-Net,4623,2912,0.87374110866121,0.7839639577430508,0.10167803103764506
Ciprofloxacin,New-patient 2022-2023,B2 Same-drug + Time,2762,1937,0.8197097301155863,0.7419752106695308,0.10159648093498241
Ciprofloxacin,New-patient 2022-2023,D2 Additive TCS-Net,2762,1937,0.8229151223128244,0.752274100525588,0.10132290345576647
Ciprofloxacin,New-patient 2022-2023,E Interaction TCS-Net,2762,1937,0.8749996568102574,0.7819170421576744,0.09566222569766443
Ampicillin,Temporal 2022-2023,B2 Same-drug + Time,4637,2912,0.7720198889439969,0.7681032186387445,0.18036257039283277
Ampicillin,Temporal 2022-2023,D2 Additive TCS-Net,4637,2912,0.7732683166216505,0.7783806902836419,0.17918148407372406
Ampicillin,Temporal 2022-2023,E Interaction TCS-Net,4637,2912,0.8230326923536583,0.8048457836026061,0.16804335665881204
Ampicillin,New-patient 2022-2023,B2 Same-drug + Time,2774,1933,0.7693667852790947,0.7675957987999495,0.17855491816541785
Ampicillin,New-patient 2022-2023,D2 Additive TCS-Net,2774,1933,0.7724217479467609,0.7810709601784922,0.1771566538035949
Ampicillin,New-patient 2022-2023,E Interaction TCS-Net,2774,1933,0.8339925236009457,0.8113359161689065,0.1626652013243099
